5g,Abrasives,Aerospace-defence,Agro-chemicals,Air-conditioners,Air-transport-service,Alcoholic-beverages,Auto-ancillaries,Automobile,Banks,Bearings,Biotech,Bluechip,Bpo-and-ites,Cables,Capital-goods-electrical-equipment,Capital-goods-non-electrical-equipment,Carbon-black,Castings-forgings-fastners,Cement,Cement-products,Ceramic-products,Chemicals,Compressor,Computer-education,Construction,Consumer-durables,Credit-rating-agencies,Crude-oil-natural-gas,Data-center,Diagnostic,Diamond-gems-and-jewellery,Diversified,Dry-cells,Dyes-and-pigments,E-commerce-app-based-aggregator,Edible-oil,Education,Electronics,Energy,Engineering,Entertainment,Ethanol,Ev-electric-vehicle,Ferro-alloys,Fertilizers,Finance,Financial-services,Fintech,Fmcg,Food,Footwear,Gas-distribution,Glass-glass-products,Green-energy,Green-hydrogen,Healthcare,Hospital,Hotels-restaurants,Household-products,Infrastructure-developers-operators,Infrastructure-investment-trusts,Insurance,It-hardware,It-software,Leather,Logistics,Marine-port-services,Media-print-television-radio,Mining-mineral-products,Miscellaneous,Nbfc,Non-ferrous-metals,Oil-drill-allied,Packaging,Paints-varnish,Paper,Petrochemicals,Pharmaceuticals,Plantation-plantation-products,Plastic-products,Plywood-boards-laminates,Power-generation-distribution,Power-infrastructure,Printing-stationery,Psu,Quick-service-restaurant,Railways,Readymade-garments-apparells,Real-estate-investment-trusts,Realty,Refineries,Refractories,Renewable-energy,Retail,Rubber,Semi-conductor,Ship-building,Shipping,Solar,Solar-panel,Steel,Stock-commodity-brokers,Sugar,Tea-coffee,Telecomm-equipment-infra-services,Telecomm-service,Textiles,Tobacco-products,Trading,Travel-services,Tyres,Unnamed: 0,Water-infra,Wind-energy
,,,,,,,OBSC Perfection Ltd,,,,,,,,Sahaj Solar Ltd,Nitin Fire Protection Industries Ltd,,,,,,Foseco India Ltd,,,,Rexpro Enterprises Ltd,,,,,,,,,,,,,,,Tips Music Ltd,,,,,Dhani Services Ltd,,,Kaveri Seed Company Ltd,Annapurna Swadisht Ltd,,,,,,,,,,J Kumar Infraprojects Ltd,,,,DRC Systems India Ltd,,Transport Corporation of India Ltd,,,,Kontor Space Ltd,,,,Trans Freight Containers Ltd,,,,Indoco Remedies Ltd,,Tulsi Extrusions Ltd,,,,,NBCC (India) Ltd,,,,,Motor & General Finance Ltd,,,,Vintage Coffee & Beverages Ltd,,,,,,,Manaksia Steels Ltd,,,,,,Garware Technical Fibres Ltd,,Maheshwari Logistics Ltd,,,47,,
,,,,,,,Omax Autos Ltd,,,,,,,,Salzer Electronics Ltd,Panasonic Carbon India Company Ltd,,,,,,Futuristic Offshore Services and Chemical Ltd,,,,Sharp India Ltd,,,,,,,,,,,,,,,Touchwood Entertainment Ltd,,,,,Dhunseri Investments Ltd,,,KCK Industries Ltd,Mukka Proteins Ltd,,,,,,,,,,K E C International Ltd,,,,Dynacons Systems & Solutions Ltd,,TVS Supply Chain Solutions Ltd,,,,Kotyark Industries Ltd,,,,Uflex Ltd,,,,Ind-Swift Ltd,,V I P Industries Ltd,,,,,Mishra Dhatu Nigam Ltd,,,,,NESCO Ltd,,,,V-Mart Retail Ltd,,,,,,,Mangalam Alloys Ltd,,,,,,GB Global Ltd,,Manaksia Ltd,,,48,,
,,,,,,,PAE Ltd,,,,,,,,Schneider Electric Infrastructure Ltd,Perfect Infraengineers Ltd,,,,,,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,,,,Sheela Foam Ltd,,,,,,,,,,,,,,,TV Vision Ltd,,,,,Dolat Algotech Ltd,,,Kohinoor Foods Ltd,Goyal Salt Ltd,,,,,,,,,,K.P. Energy Ltd,,,,E2E Networks Ltd,,VRL Logistics Ltd,,,,Krystal Integrated Services Ltd,,,,Uma Converter Ltd,,,,Ind-Swift Laboratories Ltd,,Vikas Ecotech Ltd Partly Paidup,,,,,Bharat Dynamics Ltd,,,,,Nila Spaces Ltd,,,,Warren Tea Ltd,,,,,,,Mangalam Worldwide Ltd,,,,,,Gem Spinners India Ltd,,Mangalam Global Enterprise Ltd,,,49,,
,,,,,,,Pavna Industries Ltd,,,,,,,,Servotech Renewable Power System Ltd,Pitti Engineering Ltd,,,,,,Galaxy Surfactants Ltd,,,,Sonam Ltd,,,,,,,,,,,,,,,Vels Film International Ltd,,,,,Edelweiss Financial Services Ltd,,,Kore Foods Ltd,Sheetal Cool Products Ltd,,,,,,,,,,K2 Infragen Ltd,,,,eClerx Services Ltd,,Western Carriers (India) Ltd,,,,Lamosaic India Ltd,,,,Worth Peripherals Ltd,,,,Infinium Pharmachem Ltd,,Wim Plast Ltd,,,,,REC Ltd,,,,,Oberoi Realty Ltd,,,,,,,,,,,Mideast Integrated Steels Ltd,,,,,,GHCL Textiles Ltd,,Metroglobal Ltd,,,50,,
,,,,,,,PPAP Automotive Ltd,,,,,,,,Shivalic Power Control Ltd,Praj Industries Ltd,,,,,,GHCL Ltd,,,,Stanley Lifestyles Ltd,,,,,,,,,,,,,,,Winpro Industries Ltd,,,,,Equitas Holdings Ltd,,,Kovilpatti Lakshmi Roller Flour Mills Ltd,Srivari Spices and Foods Ltd,,,,,,,,,,Kalpataru Projects International Ltd,,,,Ed & Tech International Ltd,,Zeal Global Services Ltd,,,,Lloyds Luxuries Ltd,,,,XPRO India Ltd,,,,Innova Captab Ltd,,,,,,,Indian Railway Catering & Tourism Corporation Ltd,,,,,Omaxe Ltd,,,,,,,,,,,MSP Steel & Power Ltd,,,,,,Ginni Filaments Ltd,,Mid India Industries Ltd,,,51,,
,,,,,,,Precision Camshafts Ltd,,,,,,,,Shri Ram Switchgears Ltd,Premier Ltd,,,,,,GOCL Corporation Ltd,,,,Stove Kraft Ltd,,,,,,,,,,,,,,,Wonderla Holidays Ltd,,,,,Fedbank Financial Services Ltd,,,KRBL Ltd,Kohinoor Foods Ltd,,,,,,,,,,Kay Cee Energy & Infra Ltd,,,,eMudhra Ltd,,Zinka Logistics Solutions Ltd,,,,Madhusudan Industries Ltd,,,,,,,,IOL Chemicals & Pharmaceuticals Ltd,,,,,,,Rites Ltd,,,,,Peninsula Land Ltd,,,,,,,,,,,Mukand Ltd,,,,,,Globale Tessile Ltd,,Mittal Life Style Ltd,,,52,,
,,,,,,,Precision Metaliks Ltd,,,,,,,,Siemens Ltd,Rappid Valves India Ltd,,,,,,Godrej Industries Ltd,,,,Symphony Ltd,,,,,,,,,,,,,,,Zee Entertainment Enterprises Ltd,,,,,Five-Star Business Finance Ltd,,,Krishival Foods Ltd,Baba Food Processing (India) Ltd,,,,,,,,,,KNR Constructions Ltd,,,,Enfuse Solutions Ltd,,,,,,Manglam Infra & Engineering Ltd,,,,,,,,Ipca Laboratories Ltd,,,,,,,Rail Vikas Nigam Ltd,,,,,Phoenix International Ltd,,,,,,,,,,,Mukat Pipes Ltd,,,,,,Globe Textiles (India) Ltd,,MMTC Ltd,,,53,,
,,,,,,,Premium Plast Ltd,,,,,,,,Solex Energy Ltd,Roto Pumps Ltd,,,,,,GP Petroleums Ltd,,,,Timex Group India Ltd,,,,,,,,,,,,,,,Z-Tech (India) Ltd,,,,,Fusion Finance Ltd,,,KSE Ltd,HOAC Foods India Ltd,,,,,,,,,,Konstelec Engineers Ltd,,,,Enser Communications Ltd,,,,,,Matrimony.com Ltd,,,,,,,,J B Chemicals & Pharmaceuticals Ltd,,,,,,,Gujarat Gas Ltd,,,,,Phoenix Mills Ltd,,,,,,,,,,,Newmalayalam Steel Ltd,,,,,,Gloster Ltd,,Moksh Ornaments Ltd,,,54,,
,,,,,,,Pricol Ltd,,,,,,,,Spectrum Electrical Industries Ltd,Royal Arc Electrodes Ltd,,,,,,Grauer & Weil (India) Ltd,,,,Transteel Seating Technologies Ltd,,,,,,,,,,,,,,,,,,,,GACM Technologies Ltd-DVR,,,L T Foods Ltd,,,,,,,,,,,Lakshya Powertech Ltd,,,,Equippp Social Impact Technologies Ltd,,,,,,MITCON Consultancy & Engg. Serv. Ltd Partly Paidup,,,,,,,,J K Pharmachem Ltd,,,,,,,,,,,,Poddar Housing & Development Ltd,,,,,,,,,,,NMDC Steel Ltd,,,,,,Go Fashion (India) Ltd,,Mysore Petro Chemicals Ltd,,,55,,
,,,,,,,Pritika Auto Industries Ltd,,,,,,,,Sungarner Energies Ltd,Shakti Pumps (India) Ltd,,,,,,Gujarat Alkalies & Chemicals Ltd,,,,TTK Prestige Ltd,,,,,,,,,,,,,,,,,,,,Ganges Securities Ltd,,,Lakshmi Energy & Foods Ltd,,,,,,,,,,,Larsen & Toubro Ltd,,,,Expleo Solutions Ltd,,,,,,Mitcon Consultancy & Engineering Services Ltd,,,,,,,,Jagsonpal Pharmaceuticals Ltd,,,,,,,,,,,,Prajay Engineers Syndicate Ltd,,,,,,,,,,,Nova Iron & Steel Ltd,,,,,,Grasim Industries Ltd,,Neopolitan Pizza and Foods Ltd,,,56,,
,,,,,,,RACL Geartech Ltd,,,,,,,,Supreme Power Equipment Ltd,Shanthi Gears Ltd,,,,,,Gujarat Fluorochemicals Ltd,,,,Value Industries Ltd,,,,,,,,,,,,,,,,,,,,GFL Ltd,,,Libas Consumer Products Ltd,,,,,,,,,,,Likhitha Infrastructure Ltd,,,,FCS Software Solutions Ltd,,,,,,Modi Rubber Ltd,,,,,,,,Jeena Sikho Lifecare Ltd,,,,,,,,,,,,Prestige Estates Projects Ltd,,,,,,,,,,,Oil Country Tubular Ltd,,,,,,Grasim Industries Ltd- Partly Paidup,,Newjaisa Technologies Ltd,,,57,,
,,,,,,,Rane (Madras) Ltd,,,,,,,,Surana Solar Ltd,Standard Glass Lining Technology Ltd,,,,,,Gulf Oil Lubricants India Ltd,,,,Videocon Industries Ltd,,,,,,,,,,,,,,,,,,,,GIC Housing Finance Ltd,,,Madhur Industries Ltd,,,,,,,,,,,Madhucon Projects Ltd,,,,Fidel Softech Ltd,,,,,,MPIL Corporation Ltd,,,,,,,,JFL Life Sciences Ltd,,,,,,,,,,,,Puravankara Ltd,,,,,,,,,,,P S Raj Steels Ltd,,,,,,GSL Nova Petrochemicals Ltd,,Nitco Ltd,,,58,,
,,,,,,,Rane Brake Lining Ltd,,,,,,,,Suzlon Energy Ltd,Swaraj Engines Ltd,,,,,,Heubach Colorants India Ltd,,,,Voltas Ltd,,,,,,,,,,,,,,,,,,,,GKW Ltd,,,Madhusudan Masala Ltd,,,,,,,,,,,Manav Infra Projects Ltd,,,,Firstsource Solutions Ltd,,,,,,Namo eWaste Management Ltd,,,,,,,,Jubilant Pharmova Ltd,,,,,,,,,,,,PVP Ventures Ltd,,,,,,,,,,,Panchmahal Steel Ltd,,,,,,GTN Industries Ltd,,Noesis Industries Ltd,,,59,,
,,,,,,,Rane Engine Valve Ltd,,,,,,,,Suzlon Energy Ltd Partly Paidup,Texmaco Rail & Engineering Ltd,,,,,,Hi-Green Carbon Ltd,,,,Whirlpool of India Ltd,,,,,,,,,,,,,,,,,,,,Gujarat Lease Financing Ltd,,,Manorama Industries Ltd,,,,,,,,,,,MBL Infrastructure Ltd,,,,GACM Technologies Ltd,,,,,,Nifty India Select 5 Corporate Groups,,,,,,,,Kilitch Drugs (India) Ltd,,,,,,,,,,,,Ravinder Heights Ltd,,,,,,,,,,,Pennar Industries Ltd,,,,,,GTN Textiles Ltd,,Nupur Recyclers Ltd,,,60,,
